Rk,Mgr,Tmâ–²,W,L,W-L%,Ties,G,Finish,Wpost,Lpost,W-L%post,Challenges,Overturned,Overturn%,Ejections
1,Torey Lovullo,ARI,74,88,.457,0,162,4.0,,,,40,19,47.5%,5
2,Brian Snitker,ATL,101,61,.623,0,162,1.0,,,,37,21,56.8%,1
3,Brandon Hyde,BAL,83,79,.512,0,162,4.0,,,,45,23,51.1%,3
4,Alex Cora,BOS,78,84,.481,0,162,5.0,,,,18,8,44.4%,4
5,David Ross,CHC,74,88,.457,0,162,3.0,,,,47,19,40.4%,5
6,Tony La Russa,CHW,81,81,.500,0,162,2.0,,,,26,12,46.2%,2
7,David Bell,CIN,62,100,.383,0,162,4.0,,,,37,18,48.6%,4
8,Terry Francona,CLE,92,70,.568,0,162,1.0,2,0,1.000,39,23,59.0%,3
9,Bud Black,COL,68,94,.420,0,162,5.0,,,,28,14,50.0%,2
10,A.J. Hinch,DET,66,96,.407,0,162,4.0,,,,43,22,51.2%,3
11,Dusty Baker,HOU,106,56,.654,0,162,1.0,,,,29,16,55.2%,2
12,Mike Matheny,KCR,65,97,.401,0,162,5.0,,,,42,23,54.8%,2
13,Phil Nevin,LAA,46,60,.434,0,106,3.0,,,,25,11,44.0%,4
14,Joe Maddon,LAA,27,29,.482,0,56,2.0,,,,17,5,29.4%,1
15,Dave Roberts,LAD,111,51,.685,0,162,1.0,,,,33,12,36.4%,1
16,Don Mattingly,MIA,69,93,.426,0,162,4.0,,,,36,17,47.2%,3
17,Craig Counsell,MIL,86,76,.531,0,162,2.0,,,,33,19,57.6%,2
18,Rocco Baldelli,MIN,78,84,.481,0,162,3.0,,,,51,26,51.0%,5
19,Buck Showalter,NYM,101,61,.623,0,162,1.0,1,1,.500,33,26,78.8%,0
20,Aaron Boone,NYY,99,63,.611,0,162,1.0,,,,33,19,57.6%,9
21,Mark Kotsay,OAK,60,102,.370,0,162,5.0,,,,34,15,44.1%,4
22,Rob Thomson,PHI,65,46,.586,0,111,3.0,2,0,1.000,31,14,45.2%,0
23,Joe Girardi,PHI,22,29,.431,0,51,3.0,,,,11,4,36.4%,1
24,Derek Shelton,PIT,62,100,.383,0,162,4.0,,,,31,14,45.2%,4
25,Bob Melvin,SDP,89,73,.549,0,162,2.0,1,1,.500,36,19,52.8%,4
26,Scott Servais,SEA,90,72,.556,0,162,2.0,2,0,1.000,19,9,47.4%,4
27,Gabe Kapler,SFG,81,81,.500,0,162,3.0,,,,31,14,45.2%,1
28,Oliver Marmol,STL,93,69,.574,0,162,1.0,0,2,.000,35,21,60.0%,3
29,Kevin Cash,TBR,86,76,.531,0,162,3.0,0,2,.000,42,20,47.6%,2
30,Chris Woodward,TEX,51,63,.447,0,114,3.0,,,,36,12,33.3%,1
31,Tony Beasley,TEX,17,31,.354,0,48,4.0,,,,13,5,38.5%,0
32,John Schneider,TOR,46,28,.622,0,74,2.0,0,2,.000,24,9,37.5%,2
33,Charlie Montoyo,TOR,46,42,.523,0,88,4.0,,,,24,12,50.0%,4
34,Dave Martinez,WSN,55,107,.340,0,162,5.0,,,,30,13,43.3%,2
,,,2430,2430,.500,0,4860,,8,8,.500,1089,534,49.0%,93